,Administration and Management,Biology,Chemistry,Clerical,Communications and Media,Computers and Electronics,Customer and Personal Service,Design,Economics and Accounting,Education and Training,Engineering and Technology,English Language,Fine Arts,Geography,Law and Government,Mathematics_x,Mechanical,Personnel and Human Resources,Physics,Production and Processing,Psychology,Public Safety and Security,Sales and Marketing,Telecommunications,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics_y,Monitoring,Negotiation,Operation and Control,Operation Monitoring,Operations Analysis,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing,Title
0,3.7,1.01,1.23,2.48,2.16,4.77,4.05,2.61,2.15,3.05,3.5,3.48,1.42,2.24,2.12,3.16,1.38,3.42,1.61,1.78,2.22,1.94,1.92,2.63,3.38,4.0,3.75,3.75,4.12,1.38,1.88,3.12,3.88,3.25,3.0,2.75,3.62,3.12,3.88,3.0,2.0,2.88,3.12,3.12,2.75,2.75,4.0,1.5,1.75,2.88,3.62,3.88,3.62,3.62,2.5,3.38,2.5,3.75,Computer and Information Systems Managers
1,2.61,1.12,1.08,1.96,2.09,4.62,2.46,3.62,2.08,2.71,3.33,3.96,1.0,1.43,2.0,3.58,1.38,1.78,1.46,1.88,1.54,2.0,1.71,2.58,3.12,3.5,3.5,3.25,3.88,1.25,1.62,2.75,3.62,2.88,1.62,1.88,2.5,3.0,3.25,2.62,1.75,2.25,2.75,2.75,3.25,1.88,3.62,1.25,2.0,2.75,3.12,3.5,3.5,3.25,2.62,2.88,2.12,3.38,Database Architects
2,3.26,1.0,1.15,2.74,2.43,4.87,3.3,2.88,2.47,2.79,3.47,3.41,1.55,2.75,1.39,3.53,1.53,2.0,2.11,2.55,2.04,1.45,2.07,2.4,3.12,3.75,3.75,3.0,3.75,1.0,1.0,2.5,3.25,2.38,2.0,2.0,2.62,3.12,3.0,2.12,1.12,2.25,3.12,2.62,4.75,3.5,3.38,1.0,2.75,2.25,3.12,3.12,3.38,3.12,2.75,3.12,2.25,3.25,Computer Programmers
3,3.08,1.38,2.06,2.76,2.15,4.11,2.67,3.74,1.82,2.98,3.75,3.17,1.48,1.48,1.55,3.91,4.08,2.21,2.42,3.84,1.97,2.64,1.76,1.7,3.25,3.12,3.25,3.0,3.25,2.75,2.62,2.75,3.25,2.88,1.75,2.12,2.5,3.25,3.5,2.38,3.0,3.38,3.0,2.38,4.12,3.0,3.25,2.38,1.88,2.25,2.75,3.0,3.25,3.12,2.38,3.0,3.0,3.25,Computer Numerically Controlled Tool Programmers
4,3.76,1.12,1.2,3.04,2.88,4.25,3.92,2.52,2.4,2.92,2.71,3.75,1.08,1.36,2.64,2.96,1.72,2.72,1.28,2.84,2.08,2.36,2.72,2.4,3.38,3.75,3.5,3.25,3.62,1.12,1.0,3.0,3.12,2.75,1.75,2.0,2.75,2.25,3.75,2.75,1.25,2.12,2.38,2.88,2.5,1.88,3.88,1.0,1.0,3.0,3.0,3.12,3.5,3.25,2.12,3.38,1.25,3.62,Document Management Specialists
5,2.99,1.11,1.26,2.52,2.16,4.3,3.12,2.01,1.84,2.54,2.49,3.96,1.04,1.35,1.88,3.11,1.34,1.72,1.32,1.84,1.55,1.64,1.59,2.5,3.5,3.88,3.38,3.0,3.88,1.5,2.38,2.88,3.38,3.0,2.0,1.88,2.75,3.0,3.25,2.5,2.0,3.12,3.0,2.75,3.12,2.88,3.88,1.5,2.25,2.88,3.0,3.75,3.75,3.25,2.88,3.25,3.0,3.5,Computer Systems Analysts
6,2.88,2.35,2.04,2.62,2.43,4.48,3.15,3.4,1.82,3.04,3.1,4.04,1.52,4.71,2.58,3.88,1.95,1.73,2.31,2.13,1.6,2.54,1.98,1.96,3.44,3.5,3.56,3.06,3.75,1.25,1.5,2.88,3.44,2.94,1.88,1.88,2.81,3.25,3.0,2.5,1.5,2.06,2.81,2.62,2.81,1.63,3.81,1.19,3.25,2.88,2.88,3.56,3.06,2.81,2.31,3.0,1.31,3.5,Geographic Information Systems Technologists and Technicians
7,4.0,1.3,1.71,3.29,3.1,4.19,4.24,2.86,3.35,2.95,3.58,4.29,1.24,1.95,2.75,3.14,2.19,3.14,1.81,2.7,2.6,2.6,2.76,3.19,3.38,4.0,3.38,4.0,4.12,1.0,1.0,3.12,3.62,3.0,3.12,3.12,3.88,2.88,3.62,3.38,1.12,2.25,2.38,3.12,2.25,2.5,4.0,1.0,2.12,3.25,3.38,3.88,3.75,3.5,2.12,4.0,1.5,4.0,Information Technology Project Managers
8,2.56,1.84,2.96,2.58,1.71,3.45,3.12,3.51,2.06,2.7,4.06,3.49,1.02,1.27,2.33,3.56,4.41,1.82,3.36,3.68,1.88,3.22,1.91,1.71,3.0,3.88,3.75,2.88,3.88,2.0,2.0,3.0,3.12,2.75,1.88,2.12,2.5,3.12,3.38,2.62,1.62,2.5,3.12,2.88,1.88,3.0,4.0,2.62,2.88,2.62,2.88,3.25,3.25,3.25,3.0,3.25,1.75,3.12,Industrial Engineering Technologists and Technicians
9,2.52,1.04,1.11,2.19,2.04,4.26,2.81,2.48,1.59,2.46,3.26,3.52,1.08,1.3,1.46,3.04,1.33,1.8,1.42,1.73,1.85,1.56,1.37,1.89,3.25,3.62,3.25,2.88,4.0,1.0,1.88,2.75,3.12,2.75,1.38,1.5,2.25,2.25,3.5,2.38,1.88,2.75,3.12,2.5,3.75,3.25,3.88,1.0,3.0,2.38,2.88,3.75,3.12,3.0,2.62,3.0,2.62,3.62,Software Quality Assurance Analysts and Testers
